충전구분,충전소명,주소
급속,개나리래미안 아파트,서울특별시 강남구 역삼동 역삼로 306
완속,삼성파크 아파트,서울특별시 강남구 삼성동 삼성로99길 14
급속,아크로힐스논현,서울특별시 강남구 논현동 276-1
급속,삼성동힐스테이트2단지,서울특별시 강남구 삼성로 111길 8
완속,세곡리엔파크1단지,서울특별시 강남구 세곡동 508
완속,금호어울림 아파트(삼성동),서울특별시 강남구 삼성동 봉은사로111길 25
급속,래미안대치하이스턴 아파트,서울특별시 강남구 대치동 도곡로93길 12
급속,강남데시앙포레,서울특별시 강남구 수서동 광평로34길55
급속,강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50
완속,라테라스삼성,서울특별시 강남구 삼성동 봉은사로 645
